        ROUTINE IMPLEMENTATION |  BUF SIZE B |      RT MIN ns |      RT MED ns |      RT MAX ns |      RT AVG ns |     RT STDEV % |   BW AVG GiB/s | BW STDEV GiB/s
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           1 |          2.885 |          2.984 |          3.004 |          2.975 |          0.727 |          0.313 |          0.002
          memcmp GNU libc 2.39 |           1 |          2.308 |          2.311 |          2.395 |          2.313 |          0.452 |          0.403 |          0.002
       memcmp LI-PaRAD/EMOPASS |           1 |          2.942 |          3.080 |          3.085 |          3.068 |          0.832 |          0.304 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           2 |          2.861 |          2.964 |          2.989 |          2.953 |          1.203 |          0.631 |          0.008
          memcmp GNU libc 2.39 |           2 |          3.464 |          3.467 |          3.505 |          3.468 |          0.119 |          0.537 |          0.001
       memcmp LI-PaRAD/EMOPASS |           2 |          2.803 |          2.834 |          2.949 |          2.842 |          1.347 |          0.656 |          0.009
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           3 |          2.692 |          2.746 |          2.981 |          2.766 |          3.003 |          1.011 |          0.029
          memcmp GNU libc 2.39 |           3 |          3.464 |          3.468 |          3.471 |          3.467 |          0.049 |          0.806 |          0.000
       memcmp LI-PaRAD/EMOPASS |           3 |          3.077 |          3.083 |          3.087 |          3.082 |          0.067 |          0.907 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           4 |          2.692 |          2.983 |          2.995 |          2.935 |          2.922 |          1.270 |          0.039
          memcmp GNU libc 2.39 |           4 |          3.077 |          3.082 |          3.096 |          3.082 |          0.092 |          1.209 |          0.001
       memcmp LI-PaRAD/EMOPASS |           4 |          2.821 |          3.055 |          3.085 |          3.027 |          2.243 |          1.231 |          0.028
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           5 |          2.692 |          2.698 |          2.982 |          2.735 |          2.771 |          1.704 |          0.045
          memcmp GNU libc 2.39 |           5 |          3.077 |          3.083 |          3.100 |          3.082 |          0.089 |          1.511 |          0.001
       memcmp LI-PaRAD/EMOPASS |           5 |          3.077 |          3.083 |          3.087 |          3.082 |          0.068 |          1.511 |          0.001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           6 |          2.885 |          2.958 |          2.992 |          2.944 |          1.270 |          1.898 |          0.024
          memcmp GNU libc 2.39 |           6 |          3.077 |          3.082 |          3.087 |          3.082 |          0.064 |          1.813 |          0.001
       memcmp LI-PaRAD/EMOPASS |           6 |          2.803 |          2.829 |          2.909 |          2.840 |          1.253 |          1.968 |          0.024
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           7 |          2.692 |          2.771 |          2.984 |          2.794 |          3.495 |          2.336 |          0.080
          memcmp GNU libc 2.39 |           7 |          3.077 |          3.083 |          3.091 |          3.082 |          0.080 |          2.115 |          0.002
       memcmp LI-PaRAD/EMOPASS |           7 |          3.077 |          3.083 |          3.111 |          3.082 |          0.121 |          2.115 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           8 |          2.711 |          2.984 |          2.989 |          2.963 |          2.061 |          2.516 |          0.055
          memcmp GNU libc 2.39 |           8 |          2.692 |          2.698 |          2.701 |          2.697 |          0.097 |          2.763 |          0.003
       memcmp LI-PaRAD/EMOPASS |           8 |          2.909 |          3.053 |          3.085 |          3.039 |          1.766 |          2.452 |          0.044
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |           9 |          2.692 |          2.699 |          2.955 |          2.739 |          2.753 |          3.062 |          0.081
          memcmp GNU libc 2.39 |           9 |          2.692 |          2.698 |          2.725 |          2.697 |          0.148 |          3.108 |          0.005
       memcmp LI-PaRAD/EMOPASS |           9 |          3.077 |          3.082 |          3.085 |          3.082 |          0.063 |          2.720 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          10 |          2.885 |          2.962 |          2.990 |          2.945 |          1.352 |          3.163 |          0.043
          memcmp GNU libc 2.39 |          10 |          2.692 |          2.698 |          2.719 |          2.697 |          0.120 |          3.453 |          0.004
       memcmp LI-PaRAD/EMOPASS |          10 |          2.803 |          2.836 |          2.910 |          2.847 |          1.349 |          3.272 |          0.044
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          11 |          2.692 |          2.801 |          2.987 |          2.808 |          3.529 |          3.653 |          0.128
          memcmp GNU libc 2.39 |          11 |          2.692 |          2.698 |          2.702 |          2.697 |          0.090 |          3.799 |          0.003
       memcmp LI-PaRAD/EMOPASS |          11 |          3.077 |          3.082 |          3.086 |          3.082 |          0.068 |          3.324 |          0.002
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          12 |          2.961 |          2.986 |          2.989 |          2.983 |          0.223 |          3.746 |          0.008
          memcmp GNU libc 2.39 |          12 |          2.692 |          2.698 |          2.708 |          2.697 |          0.100 |          4.144 |          0.004
       memcmp LI-PaRAD/EMOPASS |          12 |          2.909 |          3.077 |          3.091 |          3.043 |          1.802 |          3.674 |          0.068
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          13 |          2.692 |          2.699 |          2.988 |          2.751 |          3.272 |          4.406 |          0.137
          memcmp GNU libc 2.39 |          13 |          2.692 |          2.698 |          2.701 |          2.697 |          0.089 |          4.490 |          0.004
       memcmp LI-PaRAD/EMOPASS |          13 |          3.077 |          3.082 |          3.085 |          3.082 |          0.066 |          3.929 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          14 |          2.861 |          2.981 |          2.989 |          2.960 |          1.205 |          4.406 |          0.054
          memcmp GNU libc 2.39 |          14 |          2.692 |          2.697 |          2.718 |          2.697 |          0.122 |          4.834 |          0.006
       memcmp LI-PaRAD/EMOPASS |          14 |          2.803 |          2.852 |          2.923 |          2.859 |          1.246 |          4.561 |          0.057
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          15 |          2.692 |          2.771 |          2.987 |          2.804 |          3.531 |          4.988 |          0.174
          memcmp GNU libc 2.39 |          15 |          2.692 |          2.698 |          2.701 |          2.697 |          0.091 |          5.180 |          0.005
       memcmp LI-PaRAD/EMOPASS |          15 |          3.077 |          3.082 |          3.085 |          3.082 |          0.066 |          4.533 |          0.003
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          16 |          2.799 |          2.986 |          2.993 |          2.982 |          0.665 |          4.997 |          0.035
          memcmp GNU libc 2.39 |          16 |          2.308 |          2.312 |          2.328 |          2.312 |          0.143 |          6.445 |          0.009
       memcmp LI-PaRAD/EMOPASS |          16 |          2.909 |          3.079 |          3.085 |          3.044 |          1.838 |          4.897 |          0.092
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          17 |          2.692 |          2.698 |          2.972 |          2.744 |          2.861 |          5.775 |          0.158
          memcmp GNU libc 2.39 |          17 |          2.977 |          2.983 |          2.998 |          2.983 |          0.085 |          5.308 |          0.005
       memcmp LI-PaRAD/EMOPASS |          17 |          3.077 |          3.083 |          3.099 |          3.082 |          0.095 |          5.137 |          0.005
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          18 |          2.885 |          2.962 |          2.989 |          2.945 |          1.268 |          5.692 |          0.072
          memcmp GNU libc 2.39 |          18 |          3.080 |          3.086 |          3.090 |          3.086 |          0.069 |          5.432 |          0.004
       memcmp LI-PaRAD/EMOPASS |          18 |          2.803 |          2.835 |          2.940 |          2.842 |          1.344 |          5.899 |          0.079
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          19 |          2.692 |          2.804 |          2.988 |          2.812 |          3.687 |          6.301 |          0.230
          memcmp GNU libc 2.39 |          19 |          2.978 |          2.984 |          3.000 |          2.984 |          0.094 |          5.930 |          0.006
       memcmp LI-PaRAD/EMOPASS |          19 |          3.077 |          3.082 |          3.096 |          3.082 |          0.077 |          5.742 |          0.004
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          20 |          2.901 |          2.985 |          2.989 |          2.980 |          0.539 |          6.251 |          0.034
          memcmp GNU libc 2.39 |          20 |          2.741 |          2.748 |          2.751 |          2.747 |          0.094 |          6.781 |          0.006
       memcmp LI-PaRAD/EMOPASS |          20 |          2.909 |          3.038 |          3.085 |          3.011 |          2.113 |          6.188 |          0.132
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          21 |          2.692 |          2.700 |          2.957 |          2.752 |          2.831 |          7.111 |          0.195
          memcmp GNU libc 2.39 |          21 |          2.977 |          2.983 |          2.998 |          2.983 |          0.101 |          6.556 |          0.007
       memcmp LI-PaRAD/EMOPASS |          21 |          3.077 |          3.083 |          3.086 |          3.082 |          0.066 |          6.346 |          0.004
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          22 |          2.885 |          2.930 |          2.989 |          2.937 |          1.292 |          6.978 |          0.090
          memcmp GNU libc 2.39 |          22 |          3.057 |          3.063 |          3.074 |          3.063 |          0.085 |          6.690 |          0.006
       memcmp LI-PaRAD/EMOPASS |          22 |          2.803 |          2.831 |          2.908 |          2.840 |          1.246 |          7.217 |          0.089
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
 memcmp Arm optimized-routines |          23 |          2.692 |          2.837 |          2.984 |          2.813 |          3.480 |          7.623 |          0.265
          memcmp GNU libc 2.39 |          23 |          2.978 |          2.984 |          2.991 |          2.984 |          0.075 |          7.179 |          0.005
